000376441200021,999999999999999
000376441200021,000229528800010
000376441200021,000279671100025
000376441200021,000270385300020
000376441200021,000251628300003
000376441200021,000244164900009
000376441200021,000234342000002
000376441200021,000257302400011
000376441200021,000243850300002
000376441200021,000277819600004
000376441200021,000267748900002
000376441200021,000187356600005
000376441200021,000181575000008
000376441200021,000328719100004
000376441200021,000265053200008
000376441200021,000179220600004
000376728300016,999999999999999
000376728300016,000247321000001
000376728300016,000332931900009
000376728300016,000268796600028
000376728300016,000247654900005
000376728300016,000327738000005
000376728300016,000319073300003
000376728300016,000348059200006
000376728300016,000330627000003
000376728300016,000348085600020
000376728300016,000327752900035
000376728300016,000313303600004
000376728300016,000340812300024
000376728300016,000231573100060
000376728300016,000179986600001
000376728300016,000167382100016
000376728300016,000187349800004
000376728300016,000356442000002
000376078600015,999999999999999
000376078600015,000234036100001
000376078600015,000242715200015
000376078600015,000241958000012
000376078600015,000187925200011
000376078600015,000262957900005
000376078600015,000258471200006
000376078600015,000292543800006
000376078600015,000265506200027
000376078600015,000235467800005
000376078600015,000286456800008
000376078600015,000359377200008
000376078600015,000357615100010
000376078600015,000343872800020
000376078600015,000312780300011
000376078600015,000300547200011
000376078600015,000256304200045
000376078600015,000232855700020
000376078600015,000229858500018
000376078600015,000226880100004
000376078600015,000223623800012
000376078600015,000178317300009
000376078600015,000169800000010
000376078600015,000088792800046
000376078600015,000234007500002
000376078600015,000085770400013
000376078600015,000208042700002
000376078600015,000179200900056
000376078600015,000167194300035
000376078600015,000251086500024
000376078600015,000223075400004
000376078600015,000221803700007
000376078600015,000309198600004
000376078600015,000312290800014
000376406100008,999999999999999
000376406100008,000268072100013
000376406100008,000258107500021
000376406100008,000246652300003
000376406100008,000291456100004
000376406100008,000323943200012
000376406100008,000264189600012
000376406100008,000243060300013
000376406100008,000230716200001
000376406100008,000169457400001
000376406100008,000223675900013
000376406100008,000235323900013
000376406100008,000267060600003
000376406100008,000297281000002
000376406100008,000258976000037
000376406100008,000242825300001
000376406100008,000255629500018
000376406100008,000085770400013
000376406100008,000292911200031
000376406100008,000274582700038
000376406100008,000089772800053
000376406100008,000275714800009
000376406100008,000304445800083
000376406100008,000302703900039
